time,open,high,low,close,vol,id,timestamp
1559400360,0.03144,0.03144,0.03137,0.03138,49,"0","2019-06-01 14:46:00"
1559400600,0.03138,0.03138,0.03133,0.03133,37,"1","2019-06-01 14:50:00"
1559400660,0.03133,0.03134,0.03123,0.03123,345,"2","2019-06-01 14:51:00"
1559400720,0.03123,0.0313,0.03123,0.0313,47,"3","2019-06-01 14:52:00"
1559400840,0.0313,0.03138,0.0313,0.03133,88,"4","2019-06-01 14:54:00"
1559400900,0.03133,0.03139,0.03133,0.03139,20,"5","2019-06-01 14:55:00"
1559400960,0.03139,0.03139,0.03139,0.03139,5,"6","2019-06-01 14:56:00"
1559401020,0.03139,0.0314,0.03139,0.0314,4,"7","2019-06-01 14:57:00"
1559401080,0.0314,0.03141,0.0314,0.03141,118,"8","2019-06-01 14:58:00"
1559401140,0.03141,0.03144,0.03141,0.03144,39,"9","2019-06-01 14:59:00"
1559401260,0.03144,0.03145,0.03144,0.03145,1,"10","2019-06-01 15:01:00"
1559401380,0.03145,0.03147,0.03145,0.03147,50,"11","2019-06-01 15:03:00"
1559401500,0.03147,0.03149,0.03147,0.03149,10,"12","2019-06-01 15:05:00"
1559401620,0.03149,0.03149,0.03149,0.03149,1,"13","2019-06-01 15:07:00"
1559401680,0.03149,0.03149,0.03148,0.03148,10,"14","2019-06-01 15:08:00"
1559402040,0.03148,0.03149,0.03148,0.03149,20,"15","2019-06-01 15:14:00"
1559402100,0.03149,0.0315,0.03149,0.0315,5,"16","2019-06-01 15:15:00"
1559402160,0.0315,0.0315,0.03149,0.03149,1,"17","2019-06-01 15:16:00"
1559402460,0.03149,0.0315,0.03149,0.0315,5,"18","2019-06-01 15:21:00"
1559402520,0.0315,0.0315,0.03148,0.03148,44,"19","2019-06-01 15:22:00"
1559402580,0.03148,0.03149,0.03148,0.03148,74,"20","2019-06-01 15:23:00"
1559402640,0.03148,0.03148,0.03148,0.03148,8,"21","2019-06-01 15:24:00"
1559402700,0.03148,0.03148,0.03146,0.03146,13,"22","2019-06-01 15:25:00"
1559402760,0.03146,0.03146,0.03139,0.0314,264,"23","2019-06-01 15:26:00"
1559402820,0.0314,0.03146,0.0314,0.03146,28,"24","2019-06-01 15:27:00"
1559403000,0.03146,0.03146,0.03145,0.03145,15,"25","2019-06-01 15:30:00"
1559403060,0.03145,0.03145,0.03145,0.03145,50,"26","2019-06-01 15:31:00"
1559403120,0.03145,0.03145,0.03141,0.03142,11,"27","2019-06-01 15:32:00"
1559403300,0.03142,0.03147,0.03142,0.03147,310,"28","2019-06-01 15:35:00"
1559403840,0.03147,0.03148,0.03147,0.03148,5,"29","2019-06-01 15:44:00"
1559403900,0.03148,0.03151,0.03148,0.03151,18,"30","2019-06-01 15:45:00"
1559404140,0.03151,0.03152,0.03151,0.03152,16,"31","2019-06-01 15:49:00"
1559404260,0.03152,0.03157,0.03152,0.03156,604,"32","2019-06-01 15:51:00"
1559404500,0.03156,0.03156,0.03156,0.03156,8,"33","2019-06-01 15:55:00"
1559404860,0.03156,0.03159,0.03156,0.03159,10,"34","2019-06-01 16:01:00"
1559404920,0.03159,0.03159,0.03159,0.03159,2,"35","2019-06-01 16:02:00"
1559405100,0.03159,0.0316,0.03159,0.0316,2,"36","2019-06-01 16:05:00"
1559405280,0.0316,0.0316,0.03159,0.03159,1,"37","2019-06-01 16:08:00"
1559405400,0.03159,0.03164,0.03159,0.03164,200,"38","2019-06-01 16:10:00"
1559405520,0.03164,0.03164,0.03161,0.03162,24,"39","2019-06-01 16:12:00"
1559405580,0.03162,0.03162,0.03162,0.03162,6,"40","2019-06-01 16:13:00"
1559405640,0.03162,0.03166,0.03162,0.03166,125,"41","2019-06-01 16:14:00"
1559405700,0.03166,0.03166,0.03166,0.03166,20,"42","2019-06-01 16:15:00"
1559405880,0.03166,0.03166,0.03161,0.03161,10,"43","2019-06-01 16:18:00"
1559405940,0.03161,0.03164,0.03161,0.03164,50,"44","2019-06-01 16:19:00"
1559406060,0.03164,0.03166,0.03164,0.03166,130,"45","2019-06-01 16:21:00"
1559406300,0.03166,0.03167,0.03166,0.03167,21,"46","2019-06-01 16:25:00"
1559406360,0.03167,0.03167,0.03167,0.03167,1,"47","2019-06-01 16:26:00"
1559406420,0.03167,0.03167,0.03167,0.03167,5,"48","2019-06-01 16:27:00"
1559406540,0.03167,0.03167,0.03166,0.03166,348,"49","2019-06-01 16:29:00"
1559406600,0.03166,0.03166,0.03166,0.03166,27,"50","2019-06-01 16:30:00"
1559406780,0.03166,0.03166,0.03166,0.03166,18,"51","2019-06-01 16:33:00"
