datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,bitmex-{}-fill,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-05-01 05:00:00,111234705.22803114,111234705.22803114,574360400444.9388,5163.5,1,0,0,0,0.0008990000000000001,0.0,0.0,,0.0,111234705.22803114,574360400444.9388,,,
2019-05-01 05:01:00,111234705.22803114,111234705.22803114,574360400444.9388,5163.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,574360400444.9388,0.0,1.0,0.0
2019-05-01 05:02:00,111234705.22803114,111234705.22803114,574360400444.9388,5163.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,574360400444.9388,0.0,1.0,0.0
2019-05-01 05:03:00,111234705.22803114,111234705.22803114,574360400444.9388,5163.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,574360400444.9388,0.0,1.0,0.0
2019-05-01 05:04:00,111234705.22803114,111234705.22803114,573692992213.5707,5157.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573692992213.5707,0.0,1.0,0.0
2019-05-01 05:05:00,111234705.22803114,111234705.22803114,573692992213.5707,5157.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573692992213.5707,0.0,1.0,0.0
2019-05-01 05:06:00,111234705.22803114,111234705.22803114,573692992213.5707,5157.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573692992213.5707,0.0,1.0,0.0
2019-05-01 05:07:00,111234705.22803114,111234705.22803114,573692992213.5707,5157.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573692992213.5707,0.0,1.0,0.0
2019-05-01 05:08:00,111234705.22803114,111234705.22803114,573748609566.1847,5158.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573748609566.1847,0.0,1.0,0.0
2019-05-01 05:09:00,111234705.22803114,111234705.22803114,573748609566.1847,5158.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,573748609566.1847,0.0,1.0,0.0
