datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-01 05:00:00,1.357588922074396,1.357588922074396,5004.751561227261,3686.5,,1,0,0.0,0.0,0.0006826,0.0,0.0,0.0,1.357588922074396,5004.751561227261,,,
2019-01-01 05:01:00,1.307708022074396,1.357588922074396,4997.963616616888,3681.5,1,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.63653335,1.3,1.357588922074396,4997.963616616888,0.0,1.0,0.0
2019-01-01 05:02:00,1.307708022074396,1.357588922074396,4998.642411077926,3682.0,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.66147379999998,1.3,1.357588922074396,4998.642411077926,0.0,1.0,0.0
2019-01-01 05:03:00,1.307708022074396,1.357588922074396,5000.0,3683.0,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.7113547,1.3,1.357588922074396,5000.0,0.0,1.0,0.0
2019-01-01 05:04:00,1.307708022074396,1.357588922074396,5000.678794461038,3683.5,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.73629515,1.3,1.357588922074396,5000.678794461038,0.0,1.0,0.0
2019-01-01 05:05:00,1.307708022074396,1.357588922074396,4993.890849850665,3678.5,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.48689065,1.3,1.357588922074396,4993.890849850665,0.0,1.0,0.0
2019-01-01 05:06:00,1.307708022074396,1.357588922074396,4971.490632636438,3662.0,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,182.6638558,1.3,1.357588922074396,4971.490632636438,0.0,1.0,0.0
2019-01-01 05:07:00,1.307708022074396,1.357588922074396,4988.460494162368,3674.5,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.28736705,1.3,1.357588922074396,4988.460494162368,0.0,1.0,0.0
2019-01-01 05:08:00,1.307708022074396,1.357588922074396,4990.49687754548,3676.0,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.3621884,1.3,1.357588922074396,4990.49687754548,0.0,1.0,0.0
2019-01-01 05:09:00,1.307708022074396,1.357588922074396,4990.49687754548,3676.0,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.3621884,1.3,1.357588922074396,4990.49687754548,0.0,1.0,0.0
2019-01-01 05:10:00,1.307708022074396,1.357588922074396,4995.24843877274,3679.5,,1,73,0.0498809,183.88593785,0.0006833,0.0498809,183.53677155,1.3,1.357588922074396,4995.24843877274,0.0,1.0,0.0
2019-01-01 05:11:00,1.357523222074396,1.357523222074396,4987.540317901331,3674.0,-1,1,0,0.0,0.0,0.0006824,0.0,0.0,2.6,1.357523222074396,4987.540317901331,-4.839461999994743e-05,0.99995160538,4.839461999994743e-05
