Backtest Name,Backtest Date,Strategy,Start Date,End Date,Instrument(s),Params,Number of signals,Number of orders,Number of trades,Total USD Return,Total BTC Return,Sharpe Ratio,BTC Sharpe Ratio,Max Drawdown,BTC Max Drawdown,Drawdown Duration,BTC Drawdown Duration,Monthly BTC Return,Yearly BTC Return,Avg. winning trade,Median duration,Avg. losing trade,Median returns winning,Largest losing trade,Gross loss,Largest winning trade,Avg duration,Avg returns losing,Median returns losing,Profit factor,Winning round trips,Percent profitable,Total profit,Shortest duration,Median returns all round trips,Losing round trips,Longest duration,Avg returns all round trips,Gross profit,Avg returns winning,Total number of round trips,Ratio Avg. Win:Avg. Loss,Avg. trade net profit,Even round trips,Configuration Filename,Leverage
mr_15min_1month,40:01.2,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC,,25,152,69,59.26%,5.21%,0.56,0.36,22.25%,2.62%,657,612,5.04,61.37,98.51473307,0 days 11:45:00,-69.03561062,0.037804822,-0.094412392,-690.3561062000001,0.118122046,0 days 11:23:45,-0.029167809,-0.02262207,1.99781859,14.0,0.583333333,688.8501568,0 days 00:30:00,0.008419926999999999,10.0,1 days 00:45:00,0.012447641,1379.206263,0.042172962,24.0,1.427013279,28.70208987,0.0,./configurations/backtests/simple/mr_15min.json,2
mr_15min_1month_leverage_4,45:07.7,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC,,25,152,69,67.16%,10.43%,0.59,0.37,20.54%,5.23%,657,612,10.1,122.84,197.0483148,0 days 11:45:00,-137.98627019999998,0.037804822,-0.094412392,-1379.862702,0.118122046,0 days 11:23:45,-0.029167809,-0.02262207,1.999239783,14.0,0.583333333,1378.813706,0 days 00:30:00,0.008419926999999999,10.0,1 days 00:45:00,0.012447641,2758.676408,0.042172962,24.0,1.428028416,57.45057109,0.0,./configurations/backtests/simple/mr_15min.json,4
mr_15min_1month_leverage_4,48:28.1,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC,,15,92,40,60.02%,5.71%,0.55,0.23,20.00%,5.57%,657,847,5.53,67.26,221.0167262,0 days 12:52:30,-174.5910795,0.022504692000000003,-0.085975803,-872.9553973999998,0.118122046,0 days 13:37:30,-0.036391967,-0.039602781,2.278639369,9.0,0.642857143,1116.195138,0 days 06:00:00,0.008419926999999999,5.0,1 days 00:45:00,0.01696149,1989.150536,0.046602299000000014,14.0,1.26591076,79.72822417,0.0,./configurations/backtests/simple/mr_15min.json,4
mr_15min_1month_leverage_4,50:36.8,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC,,25,152,69,67.16%,10.43%,0.59,0.37,20.54%,5.23%,657,612,10.1,122.84,197.0483148,0 days 11:45:00,-137.98627019999998,0.037804822,-0.094412392,-1379.862702,0.118122046,0 days 11:23:45,-0.029167809,-0.02262207,1.999239783,14.0,0.583333333,1378.813706,0 days 00:30:00,0.008419926999999999,10.0,1 days 00:45:00,0.012447641,2758.676408,0.042172962,24.0,1.428028416,57.45057109,0.0,./configurations/backtests/simple/mr_15min.json,4
generalized_mr_1month_5m,24:48.6,,01/05/2019,30/05/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC,,8340,1172,419,87.61%,13.54%,0.42,0.68,36.88%,0.89%,2484,551,14.01,170.42,22.14420679,0 days 02:40:00,-20.69493483,0.014975666,-0.097662204,-1179.611285,0.072885013,0 days 03:23:18.726114,-0.016665400000000004,-0.011791048,1.877246095,100.0,0.636942675,1034.809393,0 days 00:05:00,0.004843601,57.0,0 days 15:55:00,0.006026656,2214.420679,0.018961128,157.0,1.070030274,6.591142634,0.0,./configurations/backtests/simple/generalized_mr.json,1
generalized_mr_1month_15m,27:05.2,,01/05/2019,30/05/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC,,2580,408,162,66.16%,7.63%,0.65,0.77,22.87%,1.02%,656,380,7.89,95.98,34.53523469,0 days 07:30:00,-27.93201885,0.024756367,-0.13437538,-614.5044146,0.133233577,0 days 07:58:25.263157,-0.02598599,-0.01580557,1.967004932,35.0,0.614035088,594.2287994,0 days 00:15:00,0.009360918,22.0,1 days 00:45:00,0.008049079,1208.733214,0.02944255,57.0,1.2364031,10.42506666,0.0,./configurations/backtests/simple/generalized_mr.json,1
generalized_mr_1month_15m,59:11.4,,01/05/2019,01/07/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC,,5700,928,375,103.82%,12.14%,0.4,0.44,74.76%,2.91%,1586,1350,5.97,72.61,37.36349437,0 days 07:15:00,-32.57218598,0.019317073,-0.13437538,-1628.609299,0.133233577,0 days 08:14:03.307086,-0.024816381,-0.016233823,1.743589192,76.0,0.5984251970000001,1211.016273,0 days 00:00:00,0.00542122,50.0,1 days 07:30:00,0.005209355,2839.625572,0.025031672,127.0,1.147098153,9.535561206,1.0,./configurations/backtests/simple/generalized_mr.json,1
generalized_mr_1month_5m,05:24.9,,01/05/2019,01/07/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC,,17700,2520,904,131.97%,19.80%,0.26,0.42,82.80%,2.04%,4760,4184,9.74,118.5,21.6310806,0 days 02:52:30,-23.62947469,0.010964914,-0.15362977,-3000.9432850000007,0.100937115,0 days 03:48:19.411764,-0.01673936,-0.010240451,1.535323973,213.0,0.626470588,1606.476883,0 days 00:05:00,0.004199455,127.0,0 days 16:50:00,0.003884889,4607.420168,0.016181977,340.0,0.915427909,4.724932007,0.0,./configurations/backtests/simple/generalized_mr.json,1
momentum_15min_1month,10:01.5,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC.BCH/BTC,,353,1066,394,44.29%,-4.68%,0.44,-0.21,31.33%,12.20%,1803,1815,-4.53,-55.06,40.77748996,0 days 06:22:30,-27.62627758,0.026776691,-0.110198445,-2817.880313,0.125961638,0 days 07:17:25,-0.024225926,-0.018879501,1.128736448,78.0,0.433333333,362.7639034,0 days 00:30:00,-0.006289464,102.0,1 days 10:15:00,0.001346786,3180.644217,0.034788026,180.0,1.4760399709999998,2.015355019,0.0,./configurations/backtests/simple/momentum_15min.json,1
momentum_5min_1month,08:51.6,,01/05/2019,01/06/2019,bitmex:XRP/BTC.EOS/BTC.ADA/BTC.BCH/BTC,,1084,3262,1110,52.29%,-6.20%,0.26,-0.16,34.24%,11.77%,4896,4756,-6.0,-73.02,21.39722488,0 days 03:15:00,-14.4306421,0.010919714,-0.077787017,-4372.484557,0.150885984,0 days 03:42:45.688073,-0.013091647,-0.008590271,1.184253107,242.0,0.444036697,805.6438632,0 days 00:10:00,-0.001568191,303.0,0 days 12:35:00,0.00106981,5178.12842,0.018800891,545.0,1.482763187,1.478245621,0.0,./configurations/backtests/simple/momentum_5min.json,1
