ols_window,zscore_entry,zscore_exit,Total Returns,Sharpe Ratio,Max Drawdown,Drawdown Duration
50,2.0,0.5,6.45,0.42,3.36,936
50,2.0,1.0,6.62,0.47,2.87,1020
50,2.0,1.5,7.44,0.59,1.42,823
50,3.0,0.5,5.36,0.47,2.7,1373
50,3.0,1.0,5.41,0.52,2.55,1020
50,3.0,1.5,4.3,0.44,1.97,1020
50,4.0,0.5,6.25,0.6,0.62,1645
50,4.0,1.0,6.26,0.63,0.45,1101
50,4.0,1.5,4.81,0.51,0.53,1654
100,2.0,0.5,1.82,0.14,5.45,1237
100,2.0,1.0,2.53,0.19,5.73,1240
100,2.0,1.5,6.09,0.49,3.0,1647
100,3.0,0.5,4.56,0.4,2.31,1645
100,3.0,1.0,4.29,0.38,2.84,1645
100,3.0,1.5,4.74,0.45,2.88,1647
100,4.0,0.5,6.07,0.58,0.82,1645
100,4.0,1.0,6.31,0.61,0.62,1645
100,4.0,1.5,6.07,0.6,0.67,1647
200,2.0,0.5,2.86,0.19,4.76,993
200,2.0,1.0,2.44,0.17,5.27,1020
200,2.0,1.5,3.95,0.29,3.56,1020
200,3.0,0.5,4.36,0.3,4.36,651
200,3.0,1.0,5.97,0.55,2.14,1645
200,3.0,1.5,4.89,0.46,2.49,1647
200,4.0,0.5,6.8,0.62,1.22,993
200,4.0,1.0,6.25,0.6,0.67,1645
200,4.0,1.5,5.78,0.57,0.97,1647
